Identifier,StructureData,Polymer EntityData,,,
Entry ID,Stucture Keywords,Entity Polymer Type,Asym ID,Source Organism,
"1A9L","RNA","RNA","A"
,,"Protein","XA","Saccharomyces cerevisiae"
,,"Protein","YA","Saccharomyces cerevisiae"
,,"Protein","ZA","Saccharomyces cerevisiae"
,,"Protein","AB","Saccharomyces cerevisiae"
,,"Protein","BB","Saccharomyces cerevisiae"
,,"Protein","CB","Saccharomyces cerevisiae"
,,"Protein","DB","Saccharomyces cerevisiae"
,,"Protein","EB","Saccharomyces cerevisiae"
,,"Protein","FB","Saccharomyces cerevisiae"
,,"Protein","GB","Saccharomyces cerevisiae"
,,"Protein","HB","Saccharomyces cerevisiae"
,,"Protein","IB","Saccharomyces cerevisiae"
,,"Protein","JB","Saccharomyces cerevisiae"
,,"Protein","KB","Saccharomyces cerevisiae"
,,"Protein","LB","Saccharomyces cerevisiae"
,,"Protein","MB","Saccharomyces cerevisiae"
,,"Protein","NB","Saccharomyces cerevisiae"
,,"Protein","OB","Saccharomyces cerevisiae"
,,"Protein","PB","Saccharomyces cerevisiae"
,,"Protein","QB","Saccharomyces cerevisiae"
,,"Protein","RB","Saccharomyces cerevisiae"
,,"Protein","SB","Saccharomyces cerevisiae"
,,"Protein","TB","Saccharomyces cerevisiae"
,,"Protein","UB","Saccharomyces cerevisiae"
,,"Protein","VB","Saccharomyces cerevisiae"
,,"RNA","WB","Saccharomyces cerevisiae"
,,"RNA","XB","Saccharomyces cerevisiae"
,,"Protein","YB","Saccharomyces cerevisiae"
,,"Protein","ZB","Saccharomyces cerevisiae"
,,"Protein","K","Saccharomyces cerevisiae"
"5MRX","RNA","RNA","A","Escherichia coli"
"5MSF","Virus/RNA","RNA","A"
,,,"B"
,,"Protein","C","Escherichia phage MS2"
,,,"D"
,,,"E"
"5NCO","RIBOSOME","RNA","A","Escherichia coli"
,,"RNA","B","Escherichia coli"
,,"RNA","C","Escherichia coli"
,,"RNA","D","Escherichia coli"
,,"Protein","E","Escherichia coli"
,,"Protein","F","Escherichia coli"
,,"Protein","G","Escherichia coli"
,,"Protein","H","Escherichia coli"
,,"Protein","I","Escherichia coli"
,,"Protein","J","Escherichia coli"
,,"Protein","K","Escherichia coli"
,,"Protein","L","Escherichia coli"
,,"Protein","M","Escherichia coli"
,,"Protein","N","Escherichia coli"
,,"Protein","O","Escherichia coli"
,,"Protein","P","Escherichia coli"
,,"Protein","Q","Escherichia coli"
,,"Protein","R","Escherichia coli"
,,"Protein","S","Escherichia coli"
,,"Protein","T","Escherichia coli"
,,"Protein","U","Escherichia coli"
,,"Protein","V","Escherichia coli"
,,"Protein","W","Escherichia coli"
,,"Protein","X","Escherichia coli"
,,"Protein","Y","Escherichia coli"
,,"Protein","Z","Escherichia coli"
,,"Protein","AA","Escherichia coli"
,,"Protein","BA","Escherichia coli"
,,"Protein","CA","Escherichia coli"
,,"Protein","DA","Escherichia coli"
,,"Protein","EA","Escherichia coli"
,,"Protein","FA","Escherichia coli"
,,"Protein","GA","Escherichia coli"
,,"Protein","HA","Escherichia coli"
,,"Protein","IA","Escherichia coli"
,,"Protein","JA","Escherichia coli"
,,"Protein","KA","Escherichia coli"
,,"Protein","LA","Escherichia coli"
,,"Protein","MA","Escherichia coli"
,,"Protein","NA","Escherichia coli"
"5NPM","RNA","Protein","A","Thermus thermophilus"
,,"RNA","B","Thermus thermophilus"
"5OOL","RIBOSOME","RNA","A","Homo sapiens"
,,"RNA","B","Homo sapiens"
,,"Protein","C","Homo sapiens"
,,"Protein","D","Homo sapiens"
,,"Protein","E","Homo sapiens"
,,"Protein","G","Homo sapiens"
,,"Protein","H","Homo sapiens"
,,"Protein","I","Homo sapiens"
,,"Protein","J","Homo sapiens"
,,"Protein","K","Homo sapiens"
,,"Protein","L","Homo sapiens"
,,"Protein","M","Homo sapiens"
,,"Protein","N","Homo sapiens"
,,"Protein","O","Homo sapiens"
,,"Protein","P","Homo sapiens"
,,"Protein","Q","Homo sapiens"
,,"Protein","R","Homo sapiens"
,,"Protein","S","Homo sapiens"
,,"Protein","T","Homo sapiens"
,,"Protein","U","Homo sapiens"
,,"Protein","V","Homo sapiens"
,,"Protein","W","Homo sapiens"
,,"Protein","X","Homo sapiens"
,,"Protein","Y","Homo sapiens"
,,"Protein","Z","Homo sapiens"
,,"Protein","AA","Homo sapiens"
,,"Protein","BA","Homo sapiens"
,,"Protein","CA","Homo sapiens"
,,"Protein","DA","Homo sapiens"
,,"Protein","EA","Homo sapiens"
,,"Protein","FA","Homo sapiens"
,,"Protein","GA","Homo sapiens"
,,"Protein","HA","Homo sapiens"
,,"Protein","IA","Homo sapiens"
,,"Protein","JA","Homo sapiens"
,,"Protein","KA","Homo sapiens"
,,"Protein","LA","Homo sapiens"
,,"Protein","MA","Homo sapiens"
,,"Protein","NA","Homo sapiens"
,,"Protein","OA","Homo sapiens"
,,"Protein","PA","Homo sapiens"
,,"Protein","QA","Homo sapiens"
,,"Protein","RA","Homo sapiens"
,,"Protein","SA","Homo sapiens"
,,"Protein","TA","Homo sapiens"
,,"Protein","UA","Homo sapiens"
,,"Protein","VA","Homo sapiens"
,,"Protein","WA","Homo sapiens"
,,"Protein","XA","Homo sapiens"
,,"Protein","YA","Homo sapiens"
,,"Protein","ZA","Homo sapiens"
,,"Protein","AB","Homo sapiens"
,,"Protein","BB","Homo sapiens"
,,"Protein","CB","Homo sapiens"
,,"Protein","DB","Homo sapiens"
,,"Protein","F","Homo sapiens"
"5OOM","RIBOSOME","RNA","A","Homo sapiens"
,,"RNA","B","Homo sapiens"
,,"Protein","C","Homo sapiens"
,,"Protein","D","Homo sapiens"
,,"Protein","E","Homo sapiens"
,,"Protein","F","Homo sapiens"
,,"Protein","G","Homo sapiens"
,,"Protein","H","Homo sapiens"
,,"Protein","I","Homo sapiens"
,,"Protein","J","Homo sapiens"
,,"Protein","K","Homo sapiens"
,,"Protein","L","Homo sapiens"
,,"Protein","M","Homo sapiens"
,,"Protein","N","Homo sapiens"
,,"Protein","O","Homo sapiens"
,,"Protein","P","Homo sapiens"
,,"Protein","Q","Homo sapiens"
,,"Protein","R","Homo sapiens"
,,"Protein","S","Homo sapiens"
,,"Protein","T","Homo sapiens"
,,"Protein","U","Homo sapiens"
,,"Protein","V","Homo sapiens"
,,"Protein","W","Homo sapiens"
,,"Protein","X","Homo sapiens"
,,"Protein","Y","Homo sapiens"
,,"Protein","Z","Homo sapiens"
,,"Protein","AA","Homo sapiens"
,,"Protein","BA","Homo sapiens"
,,"Protein","CA","Homo sapiens"
,,"Protein","DA","Homo sapiens"
,,"Protein","FA","Homo sapiens"
,,"Protein","GA","Homo sapiens"
,,"Protein","HA","Homo sapiens"
,,"Protein","IA","Homo sapiens"
,,"Protein","JA","Homo sapiens"
,,"Protein","KA","Homo sapiens"
,,"Protein","LA","Homo sapiens"
,,"Protein","MA","Homo sapiens"
,,"Protein","NA","Homo sapiens"
,,"Protein","OA","Homo sapiens"
,,"Protein","PA","Homo sapiens"
,,"Protein","QA","Homo sapiens"
,,"Protein","RA","Homo sapiens"
,,"Protein","SA","Homo sapiens"
,,"Protein","TA","Homo sapiens"
,,"Protein","UA","Homo sapiens"
,,"Protein","VA","Homo sapiens"
,,"Protein","WA","Homo sapiens"
,,"Protein","XA","Homo sapiens"
,,"Protein","YA","Homo sapiens"
,,"Protein","ZA","Homo sapiens"
,,"Protein","AB","Homo sapiens"
,,"Protein","BB","Homo sapiens"
,,"Protein","CB","Homo sapiens"
,,"Protein","EA","Homo sapiens"
"5T16","hydrolase/rna","Protein","A","Saccharomyces cerevisiae S288C"
,,,"B"
,,,"I"
,,,"J"
,,"Protein","C","Saccharomyces cerevisiae S288C"
,,,"D"
,,,"F"
,,,"K"
,,,"L"
,,,"N"
,,,"E"
,,,"M"
,,"RNA","G"
,,,"H"
,,,"O"
,,,"P"
"5T2A","RIBOSOME","RNA","A","Leishmania donovani"
,,"RNA","B","Leishmania donovani"
,,"RNA","C","Leishmania donovani"
,,"RNA","D","Leishmania donovani"
,,"RNA","E","Leishmania donovani"
,,"RNA","F","Leishmania donovani"
,,"RNA","G","Leishmania donovani"
,,"RNA","H","Leishmania donovani"
,,"Protein","I","Leishmania donovani"
,,"Protein","J","Leishmania donovani"
,,"Protein","K","Leishmania donovani"
,,"Protein","L","Leishmania donovani"
,,"Protein","M","Leishmania donovani"
,,"Protein","N","Leishmania donovani"
,,"Protein","O","Leishmania donovani"
,,"Protein","P","Leishmania donovani"
,,"Protein","Q","Leishmania donovani"
,,"Protein","R","Leishmania donovani"
,,"Protein","S","Leishmania donovani"
,,"Protein","T","Leishmania donovani"
,,"Protein","U","Leishmania donovani"
,,"Protein","V","Leishmania donovani"
,,"Protein","W","Leishmania donovani"
,,"Protein","X","Leishmania donovani"
,,"Protein","Y","Leishmania donovani"
,,"Protein","Z","Leishmania donovani"
,,"Protein","AA","Leishmania donovani"
,,"Protein","BA","Leishmania donovani"
,,"Protein","CA","Leishmania donovani"
,,"Protein","DA","Leishmania donovani"
,,"Protein","EA","Leishmania donovani"
,,"Protein","FA","Leishmania donovani"
,,"Protein","GA","Leishmania donovani"
,,"Protein","HA","Leishmania donovani"
,,"Protein","IA","Leishmania donovani"
,,"Protein","JA","Leishmania donovani"
,,"Protein","KA","Leishmania donovani"
,,"Protein","LA","Leishmania donovani"
,,"Protein","MA","Leishmania donovani"
,,"Protein","NA","Leishmania donovani"
,,"Protein","OA","Leishmania donovani"
,,"Protein","PA","Leishmania donovani"
,,"Protein","QA","Leishmania donovani"
,,"Protein","RA","Leishmania donovani"
,,"Protein","SA","Leishmania donovani"
,,"Protein","TA","Leishmania donovani"
,,"Protein","UA","Leishmania donovani"
,,"Protein","VA","Leishmania donovani"
,,"Protein","WA","Leishmania donovani"
,,"Protein","XA","Leishmania donovani"
,,"Protein","YA","Leishmania donovani"
,,"RNA","ZA","Leishmania donovani"
,,"Protein","AB","Leishmania donovani"
,,"Protein","BB","Leishmania donovani"
,,"Protein","CB","Leishmania donovani"
,,"Protein","DB","Leishmania donovani"
,,"Protein","EB","Leishmania donovani"
,,"Protein","GB","Leishmania donovani"
,,"Protein","HB","Leishmania donovani"
,,"Protein","IB","Leishmania donovani"
,,"Protein","JB","Leishmania donovani"
,,"Protein","KB","Leishmania donovani"
,,"Protein","LB","Leishmania donovani"
,,"Protein","MB","Leishmania donovani"
,,"Protein","NB","Leishmania donovani"
,,"Protein","OB","Leishmania donovani"
,,"Protein","PB","Leishmania donovani"
,,"Protein","QB","Leishmania donovani"
,,"Protein","RB","Leishmania donovani"
,,"Protein","SB","Leishmania donovani"
,,"Protein","TB","Leishmania donovani"
,,"Protein","UB","Leishmania donovani"
,,"Protein","VB","Leishmania donovani"
,,"Protein","WB","Leishmania donovani"
,,"Protein","XB","Leishmania donovani"
,,"Protein","YB","Leishmania donovani"
,,"Protein","ZB","Leishmania donovani"
,,"Protein","AC","Leishmania donovani"
,,"Protein","BC","Leishmania donovani"
,,"Protein","FB","Leishmania donovani"
"5T5H","RIBOSOME","RNA","A","Trypanosoma cruzi"
,,"RNA","B","Trypanosoma cruzi"
,,"RNA","C","Trypanosoma cruzi"
,,"RNA","D","Trypanosoma cruzi"
,,"RNA","E","Trypanosoma cruzi"
,,"RNA","F","Trypanosoma cruzi"
,,"RNA","G","Trypanosoma cruzi"
,,"RNA","H","Trypanosoma cruzi"
,,"Protein","I","Trypanosoma cruzi"
,,"Protein","J","Trypanosoma cruzi"
,,"Protein","K","Trypanosoma cruzi"
,,"Protein","L","Trypanosoma cruzi"
,,"Protein","M","Trypanosoma cruzi"
,,"Protein","N","Trypanosoma cruzi"
,,"Protein","O","Trypanosoma cruzi"
,,"Protein","P","Trypanosoma cruzi"
,,"Protein","Q","Trypanosoma cruzi"
,,"Protein","R","Trypanosoma cruzi"
,,"Protein","S","Trypanosoma cruzi"
,,"Protein","T","Trypanosoma cruzi"
,,"Protein","U","Trypanosoma cruzi"
,,"Protein","V","Trypanosoma cruzi"
,,"Protein","W","Trypanosoma cruzi"
,,"Protein","X","Trypanosoma cruzi"
,,"Protein","Y","Trypanosoma cruzi"
,,"Protein","Z","Trypanosoma cruzi"
,,"Protein","AA","Trypanosoma cruzi"
,,"Protein","BA","Trypanosoma cruzi"
,,"Protein","CA","Trypanosoma cruzi"
,,"Protein","DA","Trypanosoma cruzi"
,,"Protein","EA","Trypanosoma cruzi"
,,"Protein","FA","Trypanosoma cruzi"
,,"Protein","GA","Trypanosoma cruzi"
,,"Protein","HA","Trypanosoma cruzi"
,,"Protein","IA","Trypanosoma cruzi"
,,"Protein","JA","Trypanosoma cruzi"
,,"Protein","KA","Trypanosoma cruzi"
,,"Protein","LA","Trypanosoma cruzi"
,,"Protein","NA","Trypanosoma cruzi"
,,"Protein","OA","Trypanosoma cruzi"
,,"Protein","PA","Trypanosoma cruzi"
,,"Protein","QA","Trypanosoma cruzi"
,,"Protein","RA","Trypanosoma cruzi"
,,"Protein","SA","Trypanosoma cruzi"
,,"Protein","TA","Trypanosoma cruzi"
,,"Protein","MA","Trypanosoma cruzi"
"5T62","RIBOSOME","Protein","A","Saccharomyces cerevisiae S288C"
,,"RNA","B","Saccharomyces cerevisiae S288C"
,,"RNA","C","Saccharomyces cerevisiae"
,,"RNA","D","Saccharomyces cerevisiae"
,,"Protein","E","Saccharomyces cerevisiae S288C"
,,"Protein","F","Saccharomyces cerevisiae S288C"
,,"Protein","G","Saccharomyces cerevisiae S288C"
,,"Protein","H","Saccharomyces cerevisiae S288C"
,,"Protein","I","Saccharomyces cerevisiae S288C"
,,"Protein","J","Saccharomyces cerevisiae S288C"
,,"Protein","K","Saccharomyces cerevisiae S288C"
,,"Protein","L","Saccharomyces cerevisiae S288C"
,,"Protein","M","Saccharomyces cerevisiae S288C"
,,"Protein","N","Saccharomyces cerevisiae S288C"
,,"Protein","O","Saccharomyces cerevisiae S288C"
,,"Protein","P","Saccharomyces cerevisiae S288C"
,,"Protein","Q","Saccharomyces cerevisiae S288C"
,,"Protein","R","Saccharomyces cerevisiae S288C"
,,"Protein","S","Saccharomyces cerevisiae S288C"
,,"Protein","T","Saccharomyces cerevisiae S288C"
,,"Protein","U","Saccharomyces cerevisiae S288C"
,,"Protein","V","Saccharomyces cerevisiae S288C"
,,"Protein","W","Saccharomyces cerevisiae S288C"
,,"Protein","X","Saccharomyces cerevisiae S288C"
,,"Protein","Y","Saccharomyces cerevisiae S288C"
,,"Protein","Z","Saccharomyces cerevisiae S288C"
,,"Protein","AA","Saccharomyces cerevisiae S288C"
,,"Protein","BA","Saccharomyces cerevisiae S288C"
,,"Protein","CA","Saccharomyces cerevisiae S288C"
,,"Protein","DA","Saccharomyces cerevisiae S288C"
,,"Protein","EA","Saccharomyces cerevisiae S288C"
,,"Protein","FA","Saccharomyces cerevisiae S288C"
,,"Protein","GA","Saccharomyces cerevisiae S288C"
,,"Protein","HA","Saccharomyces cerevisiae S288C"
,,"Protein","IA","Saccharomyces cerevisiae S288C"
,,"Protein","JA","Saccharomyces cerevisiae S288C"
,,"Protein","KA","Saccharomyces cerevisiae S288C"
,,"Protein","LA","Saccharomyces cerevisiae S288C"
,,"Protein","MA","Saccharomyces cerevisiae S288C"
,,"Protein","NA","Saccharomyces cerevisiae S288C"
,,"Protein","OA","Saccharomyces cerevisiae S288C"
,,"Protein","PA","Saccharomyces cerevisiae S288C"
,,"Protein","QA","Saccharomyces cerevisiae S288C"
,,"Protein","RA","Saccharomyces cerevisiae S288C"
,,"Protein","SA","Saccharomyces cerevisiae"
,,"Protein","TA","Saccharomyces cerevisiae S288C"
,,"Protein","UA","Saccharomyces cerevisiae S288C"
"5TBW","RIBOSOME","RNA","A","Saccharomyces cerevisiae S288C"
,,,"TA"
,,"RNA","B","Saccharomyces cerevisiae S288C"
,,,"UA"
,,"RNA","C","Saccharomyces cerevisiae S288C"
,,,"VA"
,,"Protein","D","Saccharomyces cerevisiae S288C"
,,,"WA"
,,"Protein","E","Saccharomyces cerevisiae S288C"
,,,"XA"
,,"Protein","F","Saccharomyces cerevisiae S288C"
,,,"YA"
,,"Protein","G","Saccharomyces cerevisiae S288C"
,,,"ZA"
,,"Protein","AB","Saccharomyces cerevisiae S288C"
,,,"H"
,,"Protein","BB","Saccharomyces cerevisiae S288C"
,,,"I"
,,"Protein","CB","Saccharomyces cerevisiae S288C"
,,,"J"
,,"Protein","DB","Saccharomyces cerevisiae S288C"
,,,"K"
,,"Protein","EB","Saccharomyces cerevisiae S288C"
,,,"L"
,,"Protein","FB","Saccharomyces cerevisiae S288C"
,,,"M"
,,"Protein","GB","Saccharomyces cerevisiae S288C"
,,,"N"
,,"Protein","HB","Saccharomyces cerevisiae S288C"
,,,"O"
,,"Protein","IB","Saccharomyces cerevisiae S288C"
,,,"P"
,,"Protein","JB","Saccharomyces cerevisiae S288C"
,,,"Q"
,,"Protein","KB","Saccharomyces cerevisiae S288C"
,,,"R"
,,"Protein","LB","Saccharomyces cerevisiae S288C"
,,,"S"
,,"Protein","MB","Saccharomyces cerevisiae S288C"
,,,"T"
,,"Protein","NB","Saccharomyces cerevisiae S288C"
,,,"U"
,,"Protein","V","Saccharomyces cerevisiae S288C"
,,,"OB"
,,"Protein","PB","Saccharomyces cerevisiae S288C"
,,,"W"
,,"Protein","QB","Saccharomyces cerevisiae S288C"
,,,"X"
,,"Protein","Y","Saccharomyces cerevisiae S288C"
,,,"RB"
,,"Protein","SB","Saccharomyces cerevisiae S288C"
,,,"Z"
,,"Protein","AA","Saccharomyces cerevisiae S288C"
,,,"TB"
,,"Protein","BA","Saccharomyces cerevisiae S288C"
,,,"UB"
,,"Protein","CA","Saccharomyces cerevisiae S288C"
,,,"VB"
,,"Protein","DA","Saccharomyces cerevisiae S288C"
,,,"WB"
,,"Protein","EA","Saccharomyces cerevisiae S288C"
,,,"XB"
,,"Protein","FA","Saccharomyces cerevisiae S288C"
,,,"YB"
,,"Protein","GA","Saccharomyces cerevisiae S288C"
,,,"ZB"
,,"Protein","AC","Saccharomyces cerevisiae S288C"
,,,"HA"
,,"Protein","BC","Saccharomyces cerevisiae S288C"
,,,"IA"
,,"Protein","CC","Saccharomyces cerevisiae S288C"
,,,"JA"
,,"Protein","DC","Saccharomyces cerevisiae S288C"
,,,"KA"
,,"Protein","EC","Saccharomyces cerevisiae S288C"
,,,"LA"
,,"Protein","FC","Saccharomyces cerevisiae S288C"
,,,"MA"
,,"Protein","GC","Saccharomyces cerevisiae S288C"
,,,"NA"
,,"Protein","HC","Saccharomyces cerevisiae S288C"
,,,"OA"
,,"Protein","IC","Saccharomyces cerevisiae S288C"
,,,"PA"
,,"Protein","JC","Saccharomyces cerevisiae S288C"
,,,"QA"
,,"Protein","KC","Saccharomyces cerevisiae S288C"
,,,"RA"
,,"Protein","SA","Saccharomyces cerevisiae S288C"
,,"Protein","LC","Saccharomyces cerevisiae S288C"
,,"Protein","MC","Saccharomyces cerevisiae S288C"
,,"RNA","NC","Saccharomyces cerevisiae S288C"
,,,"VD"
,,"Protein","OC","Saccharomyces cerevisiae S288C"
,,,"XD"
,,"Protein","PC","Saccharomyces cerevisiae S288C"
,,,"YD"
,,"Protein","QC","Saccharomyces cerevisiae S288C"
,,,"ZD"
,,"Protein","AE","Saccharomyces cerevisiae S288C"
,,,"RC"
,,"Protein","BE","Saccharomyces cerevisiae S288C"
,,,"SC"
,,"Protein","CE","Saccharomyces cerevisiae S288C"
,,,"TC"
,,"Protein","DE","Saccharomyces cerevisiae S288C"
,,,"UC"
,,"Protein","EE","Saccharomyces cerevisiae S288C"
,,,"VC"
,,"Protein","FE","Saccharomyces cerevisiae S288C"
,,,"WC"
,,"Protein","GE","Saccharomyces cerevisiae S288C"
,,,"XC"
,,"Protein","HE","Saccharomyces cerevisiae S288C"
,,,"YC"
,,"Protein","IE","Saccharomyces cerevisiae S288C"
,,,"ZC"
,,"Protein","AD","Saccharomyces cerevisiae S288C"
,,,"JE"
,,"Protein","BD","Saccharomyces cerevisiae S288C"
,,,"KE"
,,"Protein","LE","Saccharomyces cerevisiae S288C"
,,,"CD"
,,"Protein","DD","Saccharomyces cerevisiae S288C"
,,,"ME"
,,"Protein","ED","Saccharomyces cerevisiae S288C"
,,,"NE"
,,"Protein","FD","Saccharomyces cerevisiae S288C"
,,"Protein","PE","Saccharomyces cerevisiae S288C"
,,,"GD"
,,"Protein","HD","Saccharomyces cerevisiae S288C"
,,,"QE"
,,"Protein","ID","Saccharomyces cerevisiae S288C"
,,,"RE"
,,"Protein","JD","Saccharomyces cerevisiae S288C"
,,,"SE"
,,"Protein","KD","Saccharomyces cerevisiae S288C"
,,,"TE"
,,"Protein","LD","Saccharomyces cerevisiae S288C"
,,,"UE"
,,"Protein","MD","Saccharomyces cerevisiae S288C"
,,,"VE"
,,"Protein","ND","Saccharomyces cerevisiae S288C"
,,,"WE"
,,"Protein","OD","Saccharomyces cerevisiae S288C"
,,,"XE"
,,"Protein","PD","Saccharomyces cerevisiae S288C"
,,,"YE"
,,"Protein","QD","Saccharomyces cerevisiae S288C"
,,,"ZE"
,,"Protein","AF","Saccharomyces cerevisiae S288C"
,,,"RD"
,,"Protein","BF","Saccharomyces cerevisiae S288C"
,,,"SD"
,,"Protein","TD","Saccharomyces cerevisiae S288C"
,,"Protein","WD","Saccharomyces cerevisiae S288C"
,,,"UD"
,,"Protein","OE","Saccharomyces cerevisiae S288C"
,,"Protein","CF","Saccharomyces cerevisiae S288C"
"5TGA","RIBOSOME","RNA","A","Saccharomyces cerevisiae"
,,"Protein","B","Saccharomyces cerevisiae"
,,,"CC"
,,"Protein","C","Saccharomyces cerevisiae"
,,,"DC"
,,"Protein","D","Saccharomyces cerevisiae"
,,,"EC"
,,"Protein","E","Saccharomyces cerevisiae"
,,,"FC"
,,"Protein","F","Saccharomyces cerevisiae"
,,,"GC"
,,"Protein","G","Saccharomyces cerevisiae"
,,,"HC"
,,"Protein","H","Saccharomyces cerevisiae"
,,,"IC"
,,"Protein","JC","Saccharomyces cerevisiae"
,,,"I"
,,"Protein","KC","Saccharomyces cerevisiae"
,,,"J"
,,"Protein","K","Saccharomyces cerevisiae"
,,,"LC"
,,"Protein","L","Saccharomyces cerevisiae"
,,"Protein","M","Saccharomyces cerevisiae"
,,,"NC"
,,"Protein","N","Saccharomyces cerevisiae"
,,,"OC"
,,"Protein","O","Saccharomyces cerevisiae"
,,,"PC"
,,"Protein","P","Saccharomyces cerevisiae"
,,,"QC"
,,"Protein","Q","Saccharomyces cerevisiae"
,,,"RC"
,,"Protein","R","Saccharomyces cerevisiae"
,,,"SC"
,,"Protein","S","Saccharomyces cerevisiae"
,,,"TC"
,,"Protein","T","Saccharomyces cerevisiae"
,,,"UC"
,,"Protein","U","Saccharomyces cerevisiae"
,,,"VC"
,,"Protein","V","Saccharomyces cerevisiae"
,,,"WC"
,,"Protein","W","Saccharomyces cerevisiae"
,,,"XC"
,,"Protein","X","Saccharomyces cerevisiae"
,,,"YC"
,,"Protein","Y","Saccharomyces cerevisiae"
,,,"ZC"
,,"Protein","AD","Saccharomyces cerevisiae"
,,,"Z"
,,"Protein","AA","Saccharomyces cerevisiae"
,,,"BD"
,,"Protein","BA","Saccharomyces cerevisiae"
,,,"CD"
,,"Protein","DD","Saccharomyces cerevisiae"
,,,"CA"
,,"Protein","DA","Saccharomyces cerevisiae"
,,,"ED"
,,"Protein","EA","Saccharomyces cerevisiae"
,,,"FD"
,,"Protein","FA","Saccharomyces cerevisiae"
,,,"GD"
,,"Protein","GA","Saccharomyces cerevisiae"
,,,"HD"
,,"Protein","ID","Saccharomyces cerevisiae"
,,,"HA"
,,"Protein","IA","Saccharomyces cerevisiae"
,,"RNA","JA","Saccharomyces cerevisiae"
,,,"KD"
,,"RNA","KA","Saccharomyces cerevisiae"
,,,"LD"
,,"RNA","MD","Saccharomyces cerevisiae"
,,,"LA"
,,"Protein","ND","Saccharomyces cerevisiae"
,,,"MA"
,,"Protein","NA","Saccharomyces cerevisiae"
,,,"OD"
,,"Protein","OA","Saccharomyces cerevisiae"
,,,"PD"
,,"Protein","PA","Saccharomyces cerevisiae"
,,,"QD"
,,"Protein","RD","Saccharomyces cerevisiae"
,,,"QA"
,,"Protein","RA","Saccharomyces cerevisiae"
,,,"SD"
,,"Protein","SA","Saccharomyces cerevisiae"
,,,"TD"
,,"Protein","TA","Saccharomyces cerevisiae"
,,,"UD"
,,"Protein","UA","Saccharomyces cerevisiae"
,,,"VD"
,,"Protein","VA","Saccharomyces cerevisiae"
,,,"WD"
,,"Protein","YD","Saccharomyces cerevisiae"
,,,"WA"
,,"Protein","XA","Saccharomyces cerevisiae"
,,,"ZD"
,,"Protein","AE","Saccharomyces cerevisiae"
,,,"YA"
,,"Protein","BE","Saccharomyces cerevisiae"
,,,"ZA"
,,"Protein","AB","Saccharomyces cerevisiae"
,,,"CE"
,,"Protein","BB","Saccharomyces cerevisiae"
,,,"DE"
,,"Protein","CB","Saccharomyces cerevisiae"
,,,"EE"
,,"Protein","DB","Saccharomyces cerevisiae"
,,,"FE"
,,"Protein","EB","Saccharomyces cerevisiae"
,,,"GE"
,,"Protein","FB","Saccharomyces cerevisiae"
,,,"HE"
,,"Protein","GB","Saccharomyces cerevisiae"
,,,"IE"
,,"Protein","HB","Saccharomyces cerevisiae"
,,,"JE"
,,"Protein","IB","Saccharomyces cerevisiae"
,,,"KE"
,,"Protein","JB","Saccharomyces cerevisiae"
,,,"LE"
,,"Protein","KB","Saccharomyces cerevisiae"
,,,"ME"
,,"Protein","LB","Saccharomyces cerevisiae"
,,,"NE"
,,"Protein","MB","Saccharomyces cerevisiae"
,,,"OE"
,,"Protein","NB","Saccharomyces cerevisiae"
,,,"PE"
,,"Protein","OB","Saccharomyces cerevisiae"
,,,"QE"
,,"Protein","PB","Saccharomyces cerevisiae"
,,,"RE"
,,"Protein","QB","Saccharomyces cerevisiae"
,,,"SE"
,,"Protein","RB","Saccharomyces cerevisiae"
,,,"TE"
,,"Protein","SB","Saccharomyces cerevisiae"
,,,"UE"
,,"Protein","TB","Saccharomyces cerevisiae"
,,,"VE"
,,"Protein","UB","Saccharomyces cerevisiae"
,,,"WE"
,,"Protein","XE","Saccharomyces cerevisiae"
,,,"VB"
,,"Protein","YE","Saccharomyces cerevisiae"
,,,"WB"
,,"Protein","XB","Saccharomyces cerevisiae"
,,,"ZE"
,,"Protein","AF","Saccharomyces cerevisiae"
,,,"YB"
,,"Protein","BF","Saccharomyces cerevisiae"
,,,"ZB"
,,"Protein","AC","Saccharomyces cerevisiae"
,,,"CF"
,,"RNA","BC","Saccharomyces cerevisiae"
,,"Protein","MC","Saccharomyces cerevisiae"
,,"Protein","JD","Saccharomyces cerevisiae"
,,"Protein","XD","Saccharomyces cerevisiae"
,,"Protein","DF","Saccharomyces cerevisiae"
,,"Protein","FF","Saccharomyces cerevisiae"
,,,"EF"
"5TGM","RIBOSOME","RNA","A","Saccharomyces cerevisiae"
,,"Protein","B","Saccharomyces cerevisiae"
,,,"CC"
,,"Protein","DC","Saccharomyces cerevisiae"
,,,"C"
,,"Protein","D","Saccharomyces cerevisiae"
,,,"EC"
,,"Protein","FC","Saccharomyces cerevisiae"
,,,"E"
,,"Protein","F","Saccharomyces cerevisiae"
,,,"GC"
,,"Protein","G","Saccharomyces cerevisiae"
,,,"HC"
,,"Protein","H","Saccharomyces cerevisiae"
,,,"IC"
,,"Protein","I","Saccharomyces cerevisiae"
,,,"JC"
,,"Protein","J","Saccharomyces cerevisiae"
,,,"KC"
,,"Protein","K","Saccharomyces cerevisiae"
,,,"LC"
,,"Protein","L","Saccharomyces cerevisiae"
,,,"MC"
,,"Protein","M","Saccharomyces cerevisiae"
,,,"NC"
,,"Protein","OC","Saccharomyces cerevisiae"
